Name,OttoneuID,FG MajorLeagueID,FG MinorLeagueID,MLB Org,Position(s),Avg Salary,Median Salary,Min Salary,Max Salary,Last 10,Roster%,Team,POS,ADP,rPTS,PTS,aPOS,Dollars,Adjusted,Cost,PlayerId,value
George Springer,18124,12856.0,sa526414,TOR,OF,22.74,21.0,1,50,22.7,64.151,TOR,OF/DH,124.269996643066,711.375206577777,-4.84787609635963,21.885622661012,18.0377465646524,26.1739323687751,,12856,0.0
Corbin Carroll,37182,25878.0,sa3010593,ARI,OF,22.72,21.0,5,56,44.9,97.799,ARI,OF,5.94999980926513,943.431117916107,27.2623739429072,21.885622661012,50.1479966039193,70.4463386517519,14.0,25878,36.1479966
Kevin Gausman,18196,14107.0,sa548347,TOR,SP,22.45,22.0,7,41,33.6,97.799,TOR,SP,29.8899993896484,920.430997657775,24.0797805404428,16.8711655158394,41.9509460562822,59.288476212379,27.0,14107,14.95094606
Shane Bieber,23814,19427.0,sa873698,CLE,SP,22.25,21.0,3,61,24.0,70.44,CLE,SP,152.539993286132,759.815262985229,1.85491511541738,16.8711655158394,19.7260806312568,28.1952708641747,27.0,19427,-7.273919369
Randy Arozarena,23840,19290.0,sa914549,TBR,OF,21.63,21.0,10,41,28.9,93.396,TBR,OF/DH,44.6300010681152,842.722198319435,13.3269884111039,21.885622661012,36.212611072116,53.0280006686152,,19290,0.0
Seiya Suzuki,40927,30116.0,sa3018052,CHC,OF,21.59,22.0,8,35,27.3,88.679,CHC,OF/DH,111.900001525878,759.802447795867,1.85314184046682,21.885622661012,24.7387645014789,35.3179035001924,12.0,30116,12.7387645
Framber Valdez,22426,17295.0,sa873146,HOU,SP,21.02,21.0,5,44,27.7,97.484,HOU,SP,57.7099990844726,944.671910285949,27.4340659847633,16.8711655158394,45.3052315006027,63.8740797586512,18.0,17295,27.3052315
Adley Rutschman,37257,26288.0,sa3011643,BAL,C,21.0,20.5,7,45,25.4,96.855,BAL,C/DH,53.4300003051757,783.203457295894,5.09120745096354,26.5235068337783,32.6147142847418,46.3788028690953,17.0,26288,15.61471428
Masataka Yoshida,42722,31837.0,,BOS,OF,20.91,21.0,8,34,21.1,77.044,BOS,OF/DH,193.729995727539,738.131500864028,-1.14552999062689,21.885622661012,21.7400926703852,31.0648485212932,17.0,31837,4.74009267
Josh Hader,18391,14212.0,sa658473,HOU,RP,20.33,20.0,9,37,20.4,87.736,HOU,RP,45.9399986267089,515.024228572845,-32.0175308697761,53.3888204665082,22.371289596732,32.5769105321596,,14212,0.0
Ketel Marte,18466,13613.0,sa597026,ARI,2B,19.29,19.0,4,45,24.4,95.912,ARI,2B/DH,119.680000305175,803.999661779403,7.96883863037189,15.7193073478921,24.688145978264,35.2463030382035,24.0,13613,0.6881459783
Nick Castellanos,14914,11737.0,sa548164,PHI,OF,19.25,19.0,5,37,16.7,83.962,PHI,OF/DH,110.349998474121,728.626763069629,-2.46072814858659,21.885622661012,20.4248945124255,29.1921408091012,12.0,11737,8.424894512
Dylan Cease,21052,18525.0,sa829000,CHW,SP,19.22,19.0,7,34,24.4,93.396,CHW,SP,106.540000915527,793.913265228271,6.5731546618655,16.8711655158394,24.4443201777049,35.6398937409886,,18525,0.0
Logan Webb,21015,17995.0,sa828873,SFG,SP,18.94,19.0,7,42,33.7,97.484,SFG,SP,52.3300018310546,976.333828544616,31.8152175190862,16.8711655158394,49.6863830349256,69.8223094349405,17.0,17995,32.68638303
Eloy Jimenez,21751,17484.0,sa830373,CHW,OF,18.86,18.0,6,34,18.4,69.811,CHW,OF/DH,236.429992675781,653.638328382372,-12.8370955247678,21.885622661012,10.0485271362442,14.3695503275897,,17484,0.0
Joe Musgrove,18462,12970.0,sa597766,SDP,SP,18.6,19.0,8,30,21.1,88.994,SDP,SP,91.0199966430664,724.315552520751,-3.05728286636129,16.8711655158394,14.8138826494781,21.4105482053373,,12970,0.0
Will Smith,23654,19197.0,sa873265,LAD,C,18.54,18.0,7,36,17.6,93.711,LAD,C/DH,84.5999984741211,690.05191193819,-7.79844227064618,26.5235068337783,19.7250645631321,28.6670102542315,,19197,0.0
Will Smith,23654,19197.0,sa873265,LAD,C,18.54,18.0,7,36,17.6,93.711,KCR,RP,282.670013427734,356.33941707611,-53.9752088500848,53.3888204665082,0.413611616423433,0.133588385413748,,8048,0.0
Kodai Senga,42723,31838.0,,NYM,SP,17.86,18.0,3,39,14.2,96.855,NYM,SP,135.059997558593,491.638236904144,-35.2535184193602,16.8711655158394,-17.3823529035207,-26.6326661953328,15.0,31838,-32.3823529
Shota Imanaga,44526,,sa3023346,CHC ST,SP,17.73,18.0,2,29,21.1,56.289,CHC,SP,185.979995727539,638.949104690551,-14.8696860453316,16.8711655158394,3.00147947050772,3.95726366376322,,sa3023346,0.0
Gleyber Torres,18487,16997.0,sa830372,NYY,2B,17.46,17.0,6,30,22.0,94.025,NYY,2B/DH,83.3199996948242,779.342310869693,4.55692941224224,15.7193073478921,21.2762367601343,30.9589274295152,,16997,0.0
Gunnar Henderson,37806,26289.0,sa3011484,BAL,SS/3B,17.39,16.0,5,47,36.1,97.799,BAL,3B/SS/DH,32.9500007629394,814.815417003631,9.46544607557987,14.934803001757,25.4002490773368,36.252975319508,22.0,26289,3.400249077
Bryan Reynolds,23825,19326.0,sa873683,PIT,OF,17.16,16.0,7,36,27.1,96.226,PIT,OF/DH,93.1900024414062,844.319439125061,13.5480032576803,21.885622661012,36.4336259186924,51.6856134541884,12.0,19326,24.43362592
Tyler Glasnow,18236,14374.0,sa597835,LAD,SP,16.93,17.0,6,32,25.2,97.484,LAD,SP,42.0,741.114879035949,-0.732711293143226,16.8711655158394,17.1384542226961,24.4928709620001,17.0,14374,0.1384542227
